word,is_target
combine,False
comes,False
comfortable,False
coming,False
commands,False
commercial,False
common,False
commonplace,False
communication,False
competing,False
competition,False
complaint,False
complete,False
complexity,False
complicated,False
composition,False
computational,False
computers,False
concept,False
concern,False
concerns,False
concessions,False
concluded,False
conclusions,False
conduct,False
conference,False
confident,False
connected,False
connects,False
consideration,False
considered,False
constantly,False
constructed,False
consumption,False
contact,False
contain,False
contained,False
contract,False
contrast,False
contributed,False
contribution,False
control,True
conversations,False
convicted,False
cooper,False
copyright,False
counter,False
cracking,False
crash,False
creating,False
creativity,True
credibility,False
crime,False
criminal,False
critique,False
crowd,False
crowds,False
cruise,False
cryptocurrencies,False
ct,False
cure,False
curiosity,False
currency,False
da,False
danger,False
databases,False
daunting,False
davis,False
days,False
dealing,False
dean,False
debut,False
decided,False
decision,True
declaration,False
dedicated,False
deeper,False
deepfakes,False
deepmind,False
defense,False
del,False
deliberately,False
delivering,False
demonstrated,False
deny,False
departments,False
depend,False
depending,False
describes,False
design,False
designed,False
designers,False
designing,False
desire,False
detected,False
detectors,False
determine,False
developed,False
developments,False
device,False
diabetes,False
differences,False
difficult,False
dining,False
diplomats,False
direction,False
directly,False
discern,False
disciplines,False
disclose,False
disclosures,False
discover,False
discovering,False
disputed,False
distance,False
distinction,False
distinguish,False
dna,False
dog,False
doing,False
dollars,False
don,False
door,False
doubt,False
drawing,False
drawn,False
drew,False
drive,False
drives,False
due,False
earn,False
earned,False
ears,False
ease,False
easily,False
economics,False
economies,False
editor,False
educational,False
effect,False
effective,False
efforts,False
electrical,False
elements,False
embarrassing,False
emerged,False
emergence,False
emeritus,False
emotions,False
employed,False
enacted,False
encounters,False
encourage,False
encouraging,False
end,False
energy,False
engagement,False
engineering,False
engineers,False
engines,False
enhance,False
enjoy,False
enough,False
ensemble,False
entered,False
entering,False
entire,False
entrepreneurship,False
era,False
errors,False
essentially,False
evaluate,False
evaluated,False
evaluating,False
evaluation,False
events,False
evidence,False
evolution,False
excited,False
exciting,False
executives,False
exercise,False
experiment,False
experimentation,False
experimenting,False
expert,False
explain,False
exploded,False
exponentially,False
exports,False
exposed,False
express,False
extend,False
extended,False
extensively,False
extent,False
extremely,False
fabric,False
faced,False
facility,False
factual,False
fairness,True
fame,False
farm,False
farmers,False
fashion,False
fast,False
feature,False
features,False
fee,False
fever,False
fighters,False
figure,False
files,False
findings,False
finds,False
finished,False
fire,False
fits,False
fixed,False
flag,False
flat,False
flight,False
flooded,False
focused,False
focuses,False
follows,False
foods,False
foot,False
forcing,False
forge,False
forged,False
form,False
formally,False
formed,False
forming,False
fortune,False
founder,False
founding,False
fox,False
fraction,False
fragile,False
franklin,False
fraudulent,False
freedom,False
friday,False
front,False
fueled,False
fulfill,False
fundamental,False
funding,False
furniture,False
further,False
gaining,False
game,False
gaming,False
gathering,False
gebru,False
gen,False
general,False
generates,False
generation,True
generations,False
generator,False
generic,False
genetic,False
genetics,False
geoffrey,False
geometry,False
gets,False
give,False
given,False
gives,False
giving,False
glad,False
glass,False
globe,False
gotten,False
governments,False
grace,False
graduates,False
great,False
grocery,False
groundbreaking,False
growing,False
guards,False
guy,False
hacker,False
hair,False
handful,False
happen,False
harbor,False
hard,False
harm,False
heat,False
heavy,False
heels,False
height,False
helen,False
helped,False
helpful,False
helping,False
hidden,False
hiding,False
high-profile,False
horowitz,False
housing,False
however,False
hp,False
hub,False
hudson,False
humans,False
hundreds,False
hungary,False
hunger,False
hurdle,False
hurting,False
hybrid,False
hypothetical,False
ideology,False
ii,False
illusion,False
illustrate,False
imagery,False
implications,False
important,False
impossible,False
impressive,False
improvement,False
improvements,False
improves,False
incentives,False
inches,False
include,False
increasing,False
individual,False
industry,False
infected,False
influencer,False
information,False
infrared,False
inherently,False
innovations,False
innovative,False
input,False
insight,False
insist,False
installed,False
instance,False
institute,False
instructions,False
instrument,False
intellectual,False
intelligence,True
intense,False
interaction,False
interest,False
interim,False
international,False
intriguing,False
intuitive,False
involve,False
ios,False
ipads,False
issues,False
itself,False
jacob,False
jail,False
janet,False
jason,False
jerome,False
jimmy,False
job,False
john,False
jonathan,False
journals,False
judgment,False
july,False
jumping,False
june,False
kansas,False
kim,False
king,False
kitchen,False
knows,False
labor,False
lag,False
landing,False
landscape,False
laptop,False
larger,False
largest,False
larry,False
lasers,False
last,False
lately,False
laundry,False
lawyers,False
leading,False
leaked,False
learned,False
learning,True
least,False
leather,False
leaves,False
legacy,False
lessons,False
letter,False
letting,False
level,False
liberation,False
libraries,False
likely,False
limitations,False
limited,False
lina,False
line,False
lines,False
list,False
live,False
liz,False
ll,False
loaded,False
location,False
logs,False
longer,False
longevity,False
looking,False
lost,False
lots,False
low,False
lucrative,False
luke,False
machine,False
machines,False
magic,False
mainly,False
makes,False
malware,False
man,False
manifesto,False
manufacturer,False
many,False
margaret,False
mark,False
marks,False
mask,False
massachusetts,False
maximize,False
mean,False
meaningful,False
means,False
meantime,False
measurements,False
measures,False
mechanics,False
medical,False
mellon,False
member,False
memo,False
mention,False
merely,False
method,False
mexico,False
mi,False
mich,False
michael,False
michigan,False
mid,False
middle-class,False
might,False
millions,False
minds,False
ministry,False
minority,False
minutes,False
mirror,False
miss,False
missiles,False
mistral,False
mix,False
mixed,False
mobility,False
model,True
modern,False
molecular,False
monster,False
moore,False
move,False
movements,False
multinational,False
muscle,False
named,False
narrow,False
natural,False
nbc,False
nearby,False
nearly,False
necessary,False
network,True
networking,False
networks,False
newly,False
nod,False
none,False
nonprofit,False
norm,False
northwestern,False
norway,False
novel,False
november,False
now,False
number,False
numbers,False
numerous,False
obviously,False
occasion,False
offers,False
ohio,False
oil,False
ok,False
open-source,False
oppenheimer,False
opposing,False
opposite,False
optimism,False
order,False
ordered,False
ore,False
organizations,False
ourselves,False
over,False
oversees,False
own,False
oxford,False
pacific,False
paid,False
pandemic,False
pants,False
parental,False
parents,False
part,False
partially,False
pattern,False
patterns,False
payment,False
pentagon,False
perception,False
perfect,False
performance,False
performs,False
permanently,False
permitted,False
personal,False
personally,False
phase,False
philanthropic,False
philippines,False
philosophical,False
physical,False
pichai,False
picked,False
picking,False
picks,False
pill,False
pitch,False
pittsburgh,False
pixel,False
plane,False
playing,False
pleasure,False
pledged,False
point,False
politician,False
pool,False
pop,False
popular,False
popularity,False
porn,False
portable,False
portion,False
pose,False
posing,False
position,False
possible,False
possibly,False
posted,False
potential,False
practical,False
practice,False
precisely,False
precision,False
predicting,False
prediction,True
predictions,False
prefer,False
preferred,False
prepared,False
preparing,False
presentation,False
presenting,False
pressure,False
pretend,False
prevent,False
prevented,False
principles,False
priorities,False
privacy,False
private,False
pro,False
problem,False
process,False
processed,False
processing,False
producer,False
produces,False
professors,False
profile,False
programmed,False
programming,False
programs,False
prominent,False
promotes,False
prompts,False
prop,False
prospect,False
protect,False
protecting,False
protections,False
prove,False
publicly,False
purposes,False
push,False
puts,False
qatar,False
quantum,False
racing,False
raise,False
raised,False
raises,False
ran,False
range,False
ranging,False
ranks,False
rare,False
rarely,False
rate,False
rather,False
raymond,False
reach,False
reaches,False
reaction,False
realities,False
realize,False
reason,False
reasoning,True
recommend,False
recommended,False
recovered,False
referred,False
refined,False
reflects,False
refuse,False
registration,False
regulators,False
rejected,False
relative,False
relied,False
relying,False
remain,False
remains,False
remarks,False
remind,False
remotely,False
remove,False
rendered,False
reporter,False
representation,True
representative,False
represented,False
require,False
required,False
requiring,False
researching,False
reservation,False
residence,False
resist,False
resisted,False
resources,False
respect,False
respond,False
responded,False
response,False
responsibly,False
restaurant,False
result,False
retain,False
retired,False
return,False
revealed,False
review,False
reviewed,False
rick,False
risc-v,False
risk,True
risks,False
risky,False
rivalry,False
roads,False
robotics,False
rocket,False
rooms,False
routine,False
roy,False
rules,False
run,False
runner,False
running,False
runway,False
safer,False
safety,True
samples,False
sand,False
santa,False
sarah,False
satisfying,False
saying,False
scans,False
scarce,False
schemes,False
sciences,False
scored,False
scrambled,False
screening,False
scroll,False
searching,False
securing,False
seeing,False
selecting,False
sensor,False
sentiment,False
separated,False
serves,False
service,False
serving,False
session,False
sessions,False
settings,False
setup,False
sharply,False
shift,False
shifting,False
shore,False
short,False
short-term,False
shortly,False
shows,False
shutdown,False
sidelines,False
significant,False
silly,False
similar,False
similarly,False
simple,False
simulations,False
single,False
six,False
skeptical,False
skin,False
slack,False
sleep,False
slowly,False
small,False
smaller,False
smallest,False
snapchat,False
so,False
socially,False
sold,False
sole,False
somebody,False
sometimes,False
somewhat,False
son,False
sons,False
sony,False
sorts,False
source,False
south,False
space,False
speed,False
spent,False
spies,False
spotify,False
spying,False
square,False
st,False
st-century,False
stack,False
staff,False
stages,False
stand,False
standing,False
started,False
starting,False
statement,False
statements,False
static,False
statistics,False
stay,False
steady,False
steel,False
stepped,False
steve,False
store,False
strategy,False
streets,False
stress,False
string,False
stroke,False
strong,False
structural,False
structured,False
studied,False
study,False
submarine,False
subscription,False
substantial,False
succeed,False
success,False
suggesting,False
suggestions,False
summarizing,False
summers,False
sunny,False
support,False
supports,False
sure,False
surface,False
sustainable,False
swift,False
switch,False
switched,False
symbols,False
synthetic,False
system,True
systems,False
table,False
tactics,False
taking,False
tasks,False
technically,False
tells,False
tentative,False
term,False
terminator,False
terms,False
tested,False
testing,False
thanksgiving,False
them,False
theme,False
themselves,False
theory,False
therapists,False
thoughts,False
threatened,False
threw,False
thriving,False
timing,False
title,False
today,False
tokens,False
tone,False
took,False
totally,False
touching,False
track,False
traditionally,False
train,False
trained,False
training,True
transfer,False
transfers,False
transit,False
transition,False
translate,False
trauma,False
treat,False
trillions,False
trolls,False
trust,False
try,False
tumor,False
tweets,False
type,False
typically,False
uber,False
ultimate,False
ultimately,False
undercut,False
undermining,False
understanding,True
unexpected,False
unfairly,False
unintended,False
universe,False
unnecessary,False
unreliable,False
until,False
unwanted,False
update,False
updated,False
upend,False
upgrade,False
urban,False
uses,False
using,False
usual,False
vaccine,False
value,False
variants,False
variety,False
varying,False
venture,False
venue,False
verification,False
versions,False
versus,False
veteran,False
victoria,False
victory,False
video,False
violations,False
viral,False
virginia,False
virtual,False
visible,False
vision,False
visits,False
voice,False
voting,False
vulnerable,False
waiting,False
walks,False
wants,False
warning,False
watchdog,False
water,False
wear,False
websites,False
wednesday,False
whatever,False
wheel,False
whenever,False
whereas,False
why,False
widening,False
williams,False
wilson,False
window,False
winners,False
witness,False
wolf,False
wonder,False
word,False
worn,False
worth,False
writer,False
yahoo,False
yard,False
zero,False
zoo,False
